rai_cityadjusted_total_2019_q3, geography_name, unique_id, rai_cityadjusted_total_2019_q2, rai_cityadjusted_total_2019_q1, rai_cityadjusted_total_2020_q1, rai_cityadjusted_total_2019_q4, rai_cityadjusted_total_2020_q3, state, rai_cityadjusted_total_2020_q2, rai_cityadjusted_total_2021_q2, rai_cityadjusted_total_2020_q4, rai_cityadjusted_total_2021_q1, city
126.8965,"4129",534,121.21,128.3639,128.4316,126.2019,129.8446,"QLD",128.8218,115.3846,132.9613,137.7217,"Greater Brisbane"
102.6117,"4130",535,109.7164,109.5424,118.3914,119.1352,101.81,"QLD",108.9431,99.727,104.0774,124.9115,"Greater Brisbane"
null,"4271",588,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
146.2852,"4131",536,144.6969,142.1045,154.7303,152.4235,154.8644,"QLD",152.0591,147.8091,146.9382,132.1303,"Greater Brisbane"
156.5419,"4310",602,166.9768,150.8876,165.6238,168.2338,162.1445,"QLD",170.2396,173.0769,157.1262,144.2308,"Greater Brisbane"
null,"4311",603,null,null,null,null,null,"QLD",null,null,null,null,"Greater Brisbane"
null,"4312",604,null,null,null,null,null,"QLD",null,null,null,null,"Greater Brisbane"
null,"4313",605,null,null,null,null,null,"QLD",null,null,null,null,"Greater Brisbane"
161.8598,"4340",606,155.1423,182.5167,177.8188,173.4588,180.2176,"QLD",168.3842,157.7645,169.4886,167.4938,"Greater Brisbane"
136.5809,"4133",538,137.71,139.8045,147.4351,148.4462,150.1169,"QLD",145.8362,143.608,149.4812,154.1521,"Greater Brisbane"
null,"4341",607,null,null,null,null,null,"QLD",null,null,null,null,"Greater Brisbane"
null,"4342",608,null,null,null,null,null,"QLD",null,null,null,null,"Greater Brisbane"
null,"4343",609,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4344",610,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
120.8295,"4151",539,119.8525,117.7308,123.4412,120.3606,126.6191,"QLD",127.7637,119.7086,123.9147,119.3667,"Greater Brisbane"
148.6014,"4205",563,148.3803,144.8699,160.2757,162.3849,153.458,"QLD",159.8226,147.3565,149.4906,148.1479,"Greater Brisbane"
134.412,"4207",564,132.8179,134.3866,133.266,132.6828,132.8751,"QLD",133.4335,126.3715,129.9693,128.3569,"Rest of Qld"
105.4668,"4208",565,106.8346,106.5402,104.4606,104.0895,103.3705,"QLD",106.0518,99.25558,102.6364,102.5997,"Rest of Qld"
106.4179,"4152",540,106.9444,103.6865,107.5496,107.5898,108.6352,"QLD",111.2585,97.72756,106.4507,105.1051,"Greater Brisbane"
107.7571,"4209",566,107.803,107.5047,106.5242,108.1588,105.6947,"QLD",107.8154,99.15681,104.5248,101.99,"Rest of Qld"
97.29634,"4210",567,97.15061,97.22939,96.58363,98.47296,94.94505,"QLD",100.8667,89.81187,94.94791,91.24837,"Rest of Qld"
104.9615,"4211",568,104.4668,104.7927,101.8136,105.0963,102.6871,"QLD",102.1165,92.44395,101.3402,101.0829,"Rest of Qld"
120.389,"4158",546,112.5934,127.29,118.9078,125.6949,141.3257,"QLD",123.5789,123.8532,143.9152,138.1162,"Greater Brisbane"
85.48317,"4212",569,85.29399,86.08602,84.72495,85.15668,84.96824,"QLD",83.39324,71.7097,81.64903,75.05141,"Rest of Qld"
82.51531,"4213",570,87.38646,88.84812,84.77998,88.91144,89.29834,"QLD",92.05199,79.79671,82.0901,79.5756,"Rest of Qld"
94.20907,"4214",571,94.58511,95.79856,94.01073,94.93229,93.61052,"QLD",94.59371,81.25876,89.39627,87.83257,"Rest of Qld"
108.5857,"4215",572,114.1812,110.0529,109.0633,107.7423,108.7295,"QLD",110.539,101.7396,107.9393,104.6004,"Rest of Qld"
103.4335,"4216",573,101.6947,101.1801,97.88784,100.4277,100.4443,"QLD",102.275,87.65899,95.43798,94.48986,"Rest of Qld"
101.0575,"4217",574,98.74217,100.4926,98.62762,97.95566,102.6378,"QLD",105.378,89.15763,99.73535,95.13947,"Rest of Qld"
93.00941,"4218",575,93.42595,89.91231,90.14631,90.23329,92.70759,"QLD",92.49953,78.13297,87.98946,80.3564,"Rest of Qld"
115.7839,"4159",547,105.5876,106.5619,107.5399,118.5886,106.6031,"QLD",112.0642,109.6384,111.4396,110.8356,"Greater Brisbane"
110.2338,"4160",548,102.0404,106.66,109.4069,110.0619,106.8407,"QLD",116.6418,98.79655,108.0839,106.0249,"Greater Brisbane"
null,"4219",576,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
89.93567,"4220",577,94.22731,87.19704,88.05434,87.82443,90.80564,"QLD",91.36393,75.38462,84.68805,80.58461,"Rest of Qld"
116.4881,"4161",549,119.4086,118.3857,121.7442,122.0199,119.3231,"QLD",124.2384,108.0043,118.1207,114.5805,"Greater Brisbane"
112.7835,"4163",550,117.4743,117.3253,118.1562,118.7535,119.9591,"QLD",121.0678,113.9673,116.0952,112.4121,"Greater Brisbane"
108.1513,"4164",551,106.4731,108.4857,115.0021,116.4175,115.7903,"QLD",112.1025,108.0793,117.7057,112.2126,"Greater Brisbane"
110.8431,"4165",552,110.1482,107.3216,113.6607,116.0348,111.3265,"QLD",116.5977,104.5492,111.0754,110.5128,"Greater Brisbane"
105.2364,"4169",553,122.8174,106.9048,105.2485,114.7673,115.9596,"QLD",119.1429,113.223,113.1007,111.8702,"Greater Brisbane"
103.6115,"4170",554,101.0988,104.3592,108.9158,107.5682,110.6281,"QLD",115.0121,103.6561,108.8194,105.3661,"Greater Brisbane"
97.15095,"4171",555,89.81584,92.89282,92.99954,97.13101,97.30019,"QLD",97.81487,89.1429,96.51833,95.38685,"Greater Brisbane"
103.0312,"4172",556,98.07692,102.5744,104.7604,102.5554,104.1741,"QLD",102.0215,104.6653,109.4725,103.5449,"Greater Brisbane"
105.3719,"4173",557,108.7652,110.2213,117.6983,117.0569,123.4594,"QLD",116.1683,111.6125,111.3314,114.9588,"Greater Brisbane"
88.79392,"4174",558,null,106.7886,119.2264,null,99.37431,"QLD",95.84064,102.3115,89.52255,99.69231,"Greater Brisbane"
107.5435,"4179",560,102.9433,106.6054,109.5527,114.0365,110.1505,"QLD",113.7002,101.5426,112.5176,109.8223,"Greater Brisbane"
null,"4183",561,null,null,null,null,null,"QLD",null,null,null,null,"Greater Brisbane"
197.3073,"4184",562,180.1413,181.8765,194.0787,191.3696,187.3984,"QLD",195.2583,184.104,186.1549,179.3396,"Greater Brisbane"
109.7812,"4225",581,101.9975,113.1043,102.1035,106.0356,100.6139,"QLD",107.8686,87.62052,98.56508,90.53268,"Rest of Qld"
null,"4345",611,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4346",612,null,null,null,null,null,"QLD",null,null,null,null,"Greater Brisbane"
null,"4347",613,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
88.24678,"4226",582,87.58792,86.4139,86.37331,87.39026,87.34441,"QLD",88.98093,75.4022,84.62551,81.09855,"Rest of Qld"
95.95981,"4227",583,97.83443,97.00162,95.86485,93.47341,97.43711,"QLD",99.91179,86.73427,90.47453,91.69346,"Rest of Qld"
null,"4228",584,57.33397,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
148.6565,"4350",614,150.0035,147.7704,145.4801,147.208,145.9349,"QLD",146.9063,137.3106,141.7041,139.1803,"Rest of Qld"
125.4743,"4352",615,124.4156,120.7482,122.1327,122.9167,114.3086,"QLD",118.6035,107.684,119.9517,114.1058,"Rest of Qld"
null,"4353",616,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4354",617,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
163.2914,"4355",618,null,null,155.6777,167.0727,156.4537,"QLD",151.0634,160.5351,null,144.2308,"Rest of Qld"
146.9199,"4356",619,156.053,149.2272,145.4937,146.6807,148.5708,"QLD",154.5206,147.9596,146.1538,151.8987,"Rest of Qld"
null,"4357",620,null,null,175.5602,null,null,"QLD",null,null,null,null,"Rest of Qld"
153.9468,"4358",621,162.0787,170.3336,179.1045,145.1379,155.4002,"QLD",165.0457,163.1436,143.1127,160.1869,"Rest of Qld"
null,"4359",622,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
108.2335,"4272",589,93.97024,104.3418,121.6259,106.626,108.058,"QLD",102.8758,82.71299,92.77155,92.11711,"Rest of Qld"
null,"4275",590,null,null,null,null,85.77555,"QLD",97.34682,null,null,null,"Rest of Qld"
131.8708,"4280",591,125.1407,126.6271,128.7349,135.6784,130.6775,"QLD",137.2227,null,134.8651,null,"Greater Brisbane"
148.0297,"4285",592,145.4069,145.8352,162.8808,160.238,162.0431,"QLD",158.7168,156.0171,157.1046,153.526,"Greater Brisbane"
null,"4287",593,null,null,null,null,null,"QLD",null,null,null,null,"Greater Brisbane"
131.1829,"4300",594,130.6874,132.2304,138.7193,137.7328,134.7551,"QLD",140.1137,128.1329,133.7815,136.7932,"Greater Brisbane"
149.1823,"4301",595,148.5287,149.0232,155.2888,156.1596,156.6041,"QLD",156.2934,150.3348,154.3312,153.204,"Greater Brisbane"
168.9657,"4303",596,166.8239,167.3927,175.2678,178.968,173.5219,"QLD",179.8012,170.8397,169.5616,166.2748,"Greater Brisbane"
164.9602,"4304",597,167.7977,165.9066,175.4672,174.5088,172.8822,"QLD",172.701,165.6268,169.4986,171.9789,"Greater Brisbane"
163.8419,"4305",598,164.3195,162.2459,171.5827,172.2041,174.771,"QLD",173.9704,165.6234,169.905,166.3745,"Greater Brisbane"
134.0676,"4306",599,137.5145,134.2116,142.0118,145.9013,140.848,"QLD",146.5098,135.2601,138.9653,139.2029,"Greater Brisbane"
null,"4307",600,null,null,null,null,null,"QLD",null,null,null,null,"Greater Brisbane"
null,"4309",601,null,null,null,null,null,"QLD",null,null,null,null,"Greater Brisbane"
null,"4360",623,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4361",624,189.8734,null,null,163.9984,null,"QLD",174.1655,null,null,null,"Rest of Qld"
null,"4362",625,null,null,153.3814,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4363",626,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4364",627,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4365",628,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
169.4901,"4370",629,172.4112,169.2684,161.0937,170.8173,169.4779,"QLD",167.5378,165.6486,165.246,164.5902,"Rest of Qld"
null,"4371",630,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4372",631,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4373",632,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4375",634,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4374",633,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
152.2456,"4390",644,156.9671,149.1808,150.2135,152.9013,148.2702,"QLD",159.8731,151.5104,148.7956,152.0537,"Rest of Qld"
null,"4400",645,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4376",635,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4377",636,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
155.9581,"4401",646,163.4698,162.011,165.1456,166.0029,165.539,"QLD",166.874,153.5181,153.8462,170.5353,"Rest of Qld"
null,"4378",637,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
166.9849,"4380",638,164.9485,173.9864,166.7865,165.7645,174.7504,"QLD",174.2888,156.8969,153.8808,161.2242,"Rest of Qld"
